PreStretch,AnkleWeights,Energy
NoStretch,NoWeights,106.9
NoStretch,NoWeights,84
NoStretch,NoWeights,97.5
NoStretch,NoWeights,97.1
NoStretch,NoWeights,99.5
NoStretch,Weights,100.2
NoStretch,Weights,101
NoStretch,Weights,118.5
NoStretch,Weights,104.5
NoStretch,Weights,111.2
Stretch,NoWeights,82.8
Stretch,NoWeights,80.4
Stretch,NoWeights,95.6
Stretch,NoWeights,82
Stretch,NoWeights,83.2
Stretch,Weights,89.1
Stretch,Weights,106.4
Stretch,Weights,98.3
Stretch,Weights,89.2
Stretch,Weights,104.6
